sleep_hours,steps,calories,water_intake_ml,stress_level,heart_rate_bpm,health_score,sleep_score,step_score,calorie_score,water_score,stress_score,hr_score,active_sleep_score,recovery_score,hydration_ratio,cardio_index,lifestyle_score,cal_per_1k_steps,sleep_per_stress,water_per_cal,sleep_hours_sq,stress_level_sq,steps_log,sleep_category,activity_category,stress_category
7.46,6644,2101,2335,2,74.5,77.23,91.9,66.44,94.95,77.83333333333333,88.88888888888889,77.5,61.05836,81.68888888888888,1111.3755354593052,51.49099999999999,82.91870370370371,316.2251655629139,3.73,1.1113755354593051,55.6516,4,8.801619971147346,3.0,2.0,0.0
5.44,6002,2358,2168,6,76.4,57.39,61.60000000000001,60.019999999999996,82.1,72.26666666666667,44.44444444444444,74.07999999999998,36.97232,27.377777777777784,919.4232400339271,44.46281599999998,65.75185185185185,392.869043652116,0.9066666666666667,0.9194232400339271,29.593600000000006,36,8.700014623251842,1.0,2.0,1.0
8.13,9302,2109,2718,8,87.4,81.32,98.04999999999998,93.02,94.55,90.60000000000001,22.22222222222222,54.27999999999999,91.20610999999997,21.78888888888888,1288.7624466571835,50.491255999999986,75.45370370370371,226.72543539023866,1.01625,1.2887624466571834,66.09690000000002,64,9.138092207768558,3.0,3.0,2.0
8.41,8756,2896,2564,7,64.1,79.95,93.85,87.56,55.2,85.46666666666667,33.33333333333333,96.22000000000001,82.17505999999999,31.283333333333324,885.3591160220994,84.25023200000001,75.27166666666668,330.74463225216994,1.2014285714285715,0.8853591160220995,70.7281,49,9.077608659522225,3.0,3.0,2.0
4.07,3786,2572,500,8,45.1,35.72,41.050000000000004,37.86,71.4,16.666666666666664,22.22222222222222,69.58,15.541530000000002,9.122222222222224,194.40124416796266,26.342988000000002,43.129814814814814,679.3449550977284,0.50875,0.19440124416796267,16.5649,64,8.239329427901795,0.0,1.0,2.0
5.05,11368,1877,2527,3,60.0,78.32,55.75,100.0,93.85,84.23333333333333,77.77777777777779,96.4,55.75,43.361111111111114,1346.297282898242,96.4,84.66851851851851,165.11259676284305,1.6833333333333333,1.3462972828982418,25.502499999999998,9,9.338645632129106,1.0,4.0,0.0
7.19,7717,1873,1598,5,58.8,68.97,87.85000000000001,77.17,93.65,53.266666666666666,55.55555555555556,94.24,67.793845,48.805555555555564,853.1767218366257,72.725008,76.95537037037037,242.7108980173643,1.4380000000000002,0.8531767218366257,51.69610000000001,25,8.951310542097564,3.0,3.0,1.0
6.53,4667,2188,1347,5,80.8,62.14,77.95,46.67,90.6,44.9,55.55555555555556,66.16,36.379265000000004,43.30555555555556,615.6307129798903,30.876872,63.639259259259255,468.8236554531819,1.306,0.6156307129798904,42.6409,25,8.448485993406447,2.0,1.0,1.0
6.97,11566,1665,2087,10,45.0,69.77,84.55,100.0,83.25,69.56666666666666,0.0,69.4,84.55,0.0,1253.4534534534534,69.4,67.79444444444444,143.95642400138337,0.697,1.2534534534534534,48.5809,100,9.355911495295402,2.0,4.0,2.0
5.72,9877,2467,2447,3,66.6,72.63,65.8,98.77,76.65,81.56666666666666,77.77777777777779,91.72000000000001,64.99065999999999,51.177777777777784,991.8929874341305,90.591844,82.0474074074074,249.77219803584083,1.9066666666666665,0.9918929874341306,32.718399999999995,9,9.19806534110057,1.0,3.0,0.0
